text,true_disaster,pred_disaster,true_human,pred_human
"""Puerto Rico destroyed, Texas and Florida still in shambles, the Northwest on fire. What good are politics that ignore crises of society?""",Hurricane,Cyclone,infrastructure_and_utility_damage,not_humanitarian
FEMA has called for LAFD search teams and K9s to head to TX to help in the wake of Hurricane Harvey. Were live at 11 with the story.,Hurricane,Hurricane,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
Please help donating for the Mexico earthquake disaster relief Ὁ4 #FuerzaMexico,Earthquake,Earthquake,rescue_volunteering_or_donation_effort,requests_or_urgent_needs
"""#Jefferies raises $5 million from clients, employees and shareholders for #Hurricane #Harvey Relief""",Hurricane,Hurricane,rescue_volunteering_or_donation_effort,requests_or_urgent_needs
Significant damage caused by Hurricane Harvey as it slams the Gulf Coast of Texas.  @NBC10,Hurricane,Hurricane,infrastructure_and_utility_damage,infrastructure_and_utility_damage
RT @SamaritansPurse: Were in #PuertoRico to bring relief to families in need. See how we are helping here:  :,Hurricane,not_applicable,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
"""And even after #Harvey finally moves on, after all of this flooding? Its still August in Houston. Better hope your vaccines are current.""",Hurricane,Flood,other_relevant_information,caution_and_advice
RT @RepLynnJenkins: Absolutely heartbreaking news from Mexico City. My thoughts are with all of those affected by the earthquake.,Earthquake,Earthquake,sympathy_and_support,sympathy_and_support
"""#Hurricane #Harvey Shuts Down Corpus Christi, Texas Coast; Highways Crowded With Evacuees.""",Hurricane,Hurricane,displaced_people_and_evacuations,displaced_people_and_evacuations
Did the crowd really have much choice? #POTUSTrump #NotMyPresident Definitely a captured audience. #flooding #HoustonFlood #HurricaneHarvey,Hurricane,Hurricane,other_relevant_information,not_humanitarian
I took a chopper tour of #HurricaneIrma damage. This is what I saw. See more on The @WeatherChannel on cable TV,Hurricane,Hurricane,infrastructure_and_utility_damage,other_relevant_information
RT @B911Nature: Mexico City Following Major 7.1 Magnitude Earthquake,Earthquake,Earthquake,caution_and_advice,displaced_people_and_evacuations
Flash #flood warning in effect for parts of #Maryland - here’s a view of the heavy rain pounding #Baltimore- @MegWJZ is tracking the system @wjz #WJZ #weatheralert,Flood,Flood,caution_and_advice,caution_and_advice
"""Here are some ways to help those reeling from #Harvey, even if you live far from the storm.""",Hurricane,Hurricane,rescue_volunteering_or_donation_effort,requests_or_urgent_needs
"""More than 90% of the city of 500 000 people was destroyed, said the Red Cross. The United Nations called it possibly the worst-ever weather-related disaster to hit the southern hemisphere”. ⁦@simonallison⁩ reports on Mozambique""",Cyclone,Cyclone,infrastructure_and_utility_damage,infrastructure_and_utility_damage
Sending my deepest love and positivity to the people of Mexico. The earthquake caused a lot of,Earthquake,Earthquake,sympathy_and_support,sympathy_and_support
Fort Worth ready &amp; activated to receive #Harvey evacuees after receiving State request to open shelters. More info:,Hurricane,Flood,displaced_people_and_evacuations,displaced_people_and_evacuations
Hopes Dim for Survivors of Italy Quake; Death Toll Stands at 267 #ItalyEarthquake,Earthquake,Earthquake,injured_or_dead_people,injured_or_dead_people
No Tsunami threat to India in the wake of New Zealand quake There is no tsunami threat to,Earthquake,Earthquake,other_relevant_information,not_humanitarian
Greek PM says assumes political responsibility for wildfires | Article [AMP] | Reuters,Wildfire,Wildfire,not_humanitarian,not_humanitarian
WATCH: Florida bracing for Hurricane #Irmas impact; residents scramble for supplies as storm closes in:,Hurricane,Hurricane,other_relevant_information,requests_or_urgent_needs
Do you have advice for repairing flood damage? Please share for the ppl of Houston &amp; elsewhere:  via @Houzz,Hurricane,Flood,other_relevant_information,other_relevant_information
please lets all put politics aside for now and help and pray for them,Hurricane,not_specified,sympathy_and_support,sympathy_and_support
RT @Kikyo91: Keisuke Honda will donate 20.000 euro for #ItalyEarthquake and wants a help to bring Japanese technology here. REAL MAN. THANK,Earthquake,Earthquake,rescue_volunteering_or_donation_effort,requests_or_urgent_needs
Third #RAF aircraft to depart @RAFBrizeNorton for #Irma relief effort is this A400M Atlas carrying @DFID_UK aid,Hurricane,Hurricane,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort
@SailorVanity I found a starting resource that lists different places to donate.,Hurricane,not_applicable,rescue_volunteering_or_donation_effort,other_relevant_information
"""#PuertoRico# HurricaneMaria Hear Mayor Cruz reply to Trump slam. Cruz, btw, has been living in a shelter w/ nearly 700 of her constituents.""",Hurricane,Hurricane,other_relevant_information,displaced_people_and_evacuations
Dear water please go down: #HurricaneHarvey,Hurricane,Hurricane,other_relevant_information,requests_or_urgent_needs
Remember that #disability doesn’t take a break when there’s a disaster. Please support inclusive #HurricaneMaria relief efforts as well!,Hurricane,Hurricane,rescue_volunteering_or_donation_effort,requests_or_urgent_needs
RT @KyleeMiller_WX: My thoughts go out to those being impacted by Hurricane Matthew. Stay with WeatherNation for live coverage. Ἲ5 /,Hurricane,Hurricane,sympathy_and_support,sympathy_and_support
Houston families please call 281-464-4851 or 713-884-3131 if you need help #disasterrelief #hurricaneharvey #houston,Hurricane,Hurricane,rescue_volunteering_or_donation_effort,requests_or_urgent_needs
